transaction_id,date,customer_id,product,category,quantity,price,store_location
27,07/03/2024,CUST0305,Calça,Vestuário,5,324.8,Lisboa
28,31/05/2024,CUST0030,Camiseta,Vestuário,5,"383,37",Porto
29,05-03-2024,CUST0321,Tênis,Calçados,3,"162,41",Paris
30,09/07/2024,CUST0017,Calça,Vestuário,7,475.69,Porto
31,10/09/2024,CUST0452,Fruta,Alimentos,2,"248,49",Paris
32,28/10/2024,CUST0431,Smartphone,Eletrônicos,6,421.17,Porto
33,07/01/2024,CUST0392,Tênis,Calçados,6,16.84,Paris
34,26/11/2024,CUST0231,Livro,Educação,9,338.35,Madrid
35,17/05/2024,CUST0238,Fruta,ALIMENTOS,3,"419,77",Porto
36,08-21-2024,CUST0187,Laptop,Eletrônicos,4,228.95,Barcelona
37,07-16-2024,CUST0258,Calça,Vestuário,8,466.75,Berlim
38,01-30-2024,CUST0289,Caderno,Educação,7,"13,14",Roma
39,07-27-2024,CUST0056,Calça,Vestuário,8,362.34,Paris
40,11/07/2024,CUST0282,Refrigerante,Alimentos,2,"440,04",Barcelona
41,2024-10-20,CUST0108,Camiseta,Vestuário,6,275.4,Berlim
42,17/11/2024,CUST0417,Calça,vestuário,10,"328,47",Roma
43,12-21-2024,CUST0303,Sandália,Calçados,5,"273,1",Porto
44,10-22-2024,CUST0486,Refrigerante,Alimentos,8,"160,04",Berlim
45,12-05-2024,CUST0138,Laptop,Eletrônicos,6,"324,49",Porto
46,26/11/2024,CUST0312,Calça,Vestuário,5,"273,17",Berlim
47,02-24-2024,CUST0084,Smartphone,Eletrônicos,2,236.02,Barcelona
48,2024-04-13,CUST0041,Laptop,Eletrônicos,6,165.88,Porto
49,07-31-2024,CUST0049,Tênis,Calçados,1,66.23,Madrid
50,11-27-2024,CUST0377,Smartphone,Eletrônicos,6,278.53,Madrid
51,19/10/2024,CUST0055,Tênis,CALÇADOS,6,"449,06",Paris
52,12-13-2024,CUST0212,Fruta,alimentos,2,"324,02",Lisboa
53,04-29-2024,CUST0011,Calça,Vestuário,4,"254,94",Roma
54,10-07-2024,CUST0057,Caderno,Educação,9,"424,21",Paris
55,2024-09-21,CUST0157,Fruta,Alimentos,1,62.24,Berlim
56,14/10/2024,CUST0464,Calça,Vestuário,7,453.1,Roma
57,09-01-2024,CUST0015,Tênis,Calçados,1,"329,7",Porto
58,05-06-2024,CUST0117,Fruta,Alimentos,9,"427,22",Barcelona
59,11-30-2024,CUST0175,Tênis,Calçados,3,"434,85",Roma
60,09-01-2024,CUST0265,Smartphone,Eletrônicos,6,317.14,Roma
61,2024-03-22,CUST0082,Caderno,Educação,3,"179,07",Porto
62,09-28-2024,CUST0359,Camiseta,Vestuário,6,"383,5",Barcelona
63,2024-12-02,CUST0406,Laptop,Eletrônicos,9,"179,62",Berlim
64,2024-09-30,CUST0341,Sandália,Calçados,7,"120,02",Barcelona
65,07-16-2024,CUST0392,Caderno,Educação,6,364.6,Lisboa
66,05/04/2024,CUST0374,Calça,Vestuário,6,224.15,Lisboa
67,2024-08-13,CUST0229,Sandália,Calçados,10,"213,14",Paris
68,02-08-2024,CUST0188,Smartphone,Eletrônicos,5,217.39,Berlim
69,10-11-2024,CUST0413,Tênis,CALÇADOS,3,"438,82",Paris
70,2024-07-23,CUST0435,Caderno,Educação,10,492.81,Barcelona
71,03-07-2024,CUST0255,Calça,Vestuário,5,"312,79",Madrid
72,2024-11-03,CUST0091,Camiseta,Vestuário,9,"303,35",Porto
73,11/04/2024,CUST0398,Tênis,Calçados,6,225.44,Porto
74,12-27-2024,CUST0151,Caderno,Educação,9,114.5,Paris
75,2024-08-08,CUST0333,Laptop,Eletrônicos,9,140.53,Roma
76,03-29-2024,CUST0485,Sandália,Calçados,1,"434,1",Lisboa
77,09-29-2024,CUST0062,Fruta,ALIMENTOS,6,"38,63",Berlim
78,12-17-2024,CUST0416,Sandália,CALÇADOS,7,"8,55",Barcelona
79,11-21-2024,CUST0289,Tênis,Calçados,3,175.52,Roma
80,14/07/2024,CUST0414,Tênis,Calçados,8,"272,25",Paris
81,2024-02-29,CUST0050,Caderno,Educação,4,223.44,Berlim
82,02-17-2024,CUST0182,Camiseta,Vestuário,4,299.06,Barcelona
83,12/05/2024,CUST0292,Calça,Vestuário,2,68.14,Berlim
84,01-29-2024,CUST0158,Caderno,Educação,5,437.97,Roma
85,2024-09-14,CUST0444,Smartphone,eletrônicos,2,446.55,Barcelona
86,05-15-2024,CUST0417,Smartphone,Eletrônicos,2,"267,77",Berlim
87,11-15-2024,CUST0355,Fruta,Alimentos,1,62.34,Madrid
88,07-14-2024,CUST0296,Laptop,Eletrônicos,4,410.47,Roma
89,05/01/2024,CUST0143,Laptop,Eletrônicos,8,42.5,Madrid
90,2024-07-29,CUST0493,Caderno,Educação,7,"462,59",Berlim
91,2024-12-29,CUST0441,Camiseta,Vestuário,7,370.57,Barcelona
92,12-02-2024,CUST0189,Camiseta,Vestuário,3,172.94,Roma
93,30/12/2024,CUST0099,Camiseta,Vestuário,2,354.15,Lisboa
94,11/10/2024,CUST0152,Laptop,Eletrônicos,1,"489,11",Lisboa
95,2024-08-03,CUST0411,Refrigerante,Alimentos,4,5.69,Berlim
96,26/10/2024,CUST0141,Camiseta,Vestuário,7,"19,81",Barcelona
97,11-08-2024,CUST0019,Fruta,Alimentos,6,223.97,Paris
98,05-15-2024,CUST0480,Sandália,Calçados,9,"156,09",Porto
99,2024-03-01,CUST0137,Sandália,Calçados,9,376.08,Porto
100,2024-05-27,CUST0134,Tênis,Calçados,6,6.23,Barcelona
101,04-01-2024,CUST0396,Refrigerante,Alimentos,8,"115,55",Barcelona
102,11-05-2024,CUST0376,Tênis,Calçados,4,283.02,Berlim
103,11-29-2024,CUST0122,Camiseta,Vestuário,8,388.26,Porto
104,31/08/2024,CUST0046,Tênis,Calçados,10,206.56,Roma
105,12-03-2024,CUST0149,Laptop,Eletrônicos,2,108.89,Berlim
106,12/11/2024,CUST0498,Tênis,Calçados,3,221.71,Porto
107,2024-07-31,CUST0009,Caderno,educação,8,"112,65",Porto
108,22/11/2024,CUST0474,Caderno,Educação,2,256.52,Lisboa
109,05-07-2024,CUST0477,Laptop,Eletrônicos,8,230.88,Madrid
110,07-25-2024,CUST0337,Caderno,Educação,8,252.02,Roma
111,06-08-2024,CUST0181,Sandália,Calçados,8,"90,78",Porto
112,25/10/2024,CUST0460,Caderno,Educação,2,"43,97",Barcelona
113,01-16-2024,CUST0259,Laptop,Eletrônicos,6,454.28,Porto
114,09-23-2024,CUST0293,Tênis,Calçados,8,21.04,Lisboa
115,14/04/2024,CUST0270,Fruta,Alimentos,6,"122,61",Roma
116,01/05/2024,CUST0401,Refrigerante,Alimentos,2,"172,65",Madrid
117,02-11-2024,CUST0068,Tênis,Calçados,8,305.66,Porto
118,09-22-2024,CUST0052,Laptop,Eletrônicos,4,"247,04",Berlim
119,26/05/2024,CUST0385,Calça,Vestuário,9,397.3,Porto
120,30/09/2024,CUST0358,Livro,Educação,1,"39,31",Paris
121,2024-12-19,CUST0126,Caderno,Educação,10,341.63,Porto
122,20/10/2024,CUST0249,Laptop,Eletrônicos,4,192.37,Lisboa
123,04-19-2024,CUST0376,Caderno,EDUCAÇÃO,4,"363,64",Paris
124,13/09/2024,CUST0170,Laptop,Eletrônicos,8,361.18,Paris
125,2024-04-28,CUST0098,Sandália,Calçados,1,209.55,Madrid
126,07-11-2024,CUST0480,Smartphone,Eletrônicos,5,466.26,Paris
127,09-21-2024,CUST0311,Caderno,Educação,2,"323,08",Roma
128,22/02/2024,CUST0144,Tênis,calçados,6,38.84,Porto
129,04/10/2024,CUST0482,Fruta,Alimentos,2,488.96,Paris
130,18/03/2024,CUST0337,Laptop,Eletrônicos,9,"205,37",Barcelona
131,12-13-2024,CUST0436,Camiseta,Vestuário,10,"477,7",Roma
132,2024-05-25,CUST0269,Livro,Educação,4,251.32,Lisboa
133,19/09/2024,CUST0169,Smartphone,Eletrônicos,2,464.74,Porto
134,01-22-2024,CUST0455,Livro,Educação,7,"19,13",Madrid
135,11-14-2024,CUST0077,Tênis,Calçados,6,329.52,Roma
136,08-28-2024,CUST0317,Calça,Vestuário,5,38.29,Porto
137,08-10-2024,CUST0074,Sandália,Calçados,10,19.57,Barcelona
138,2024-05-09,CUST0283,Caderno,Educação,1,116.32,Paris
139,21/11/2024,CUST0251,Sandália,Calçados,3,207.52,Madrid
140,05-18-2024,CUST0027,Sandália,Calçados,6,263.63,Porto
141,07-11-2024,CUST0358,Sandália,Calçados,6,317.14,Madrid
142,2024-03-15,CUST0033,Refrigerante,ALIMENTOS,4,203.76,Lisboa
143,02-28-2024,CUST0317,Fruta,Alimentos,7,10.07,Lisboa
144,2024-04-29,CUST0425,Fruta,Alimentos,1,205.03,Roma
145,05-10-2024,CUST0021,Refrigerante,Alimentos,6,"415,97",Porto
146,08-07-2024,CUST0417,Smartphone,Eletrônicos,6,368.87,Madrid
147,22/02/2024,CUST0453,Calça,Vestuário,6,14.06,Berlim
148,10-12-2024,CUST0066,Refrigerante,Alimentos,6,203.81,Lisboa
149,17/12/2024,CUST0261,Fruta,Alimentos,1,216.54,Roma
150,2024-06-22,CUST0283,Smartphone,Eletrônicos,6,72.87,Barcelona
151,03-03-2024,CUST0239,Caderno,Educação,9,"305,87",Paris
152,03-27-2024,CUST0098,Tênis,Calçados,2,382.8,Lisboa
153,02-11-2024,CUST0454,Calça,Vestuário,2,"162,76",Barcelona
154,01/07/2024,CUST0023,Laptop,ELETRÔNICOS,4,"361,88",Porto
155,26/07/2024,CUST0144,Sandália,Calçados,6,64.77,Madrid
156,08-21-2024,CUST0235,Tênis,Calçados,7,"495,38",Lisboa
157,06/03/2024,CUST0268,Caderno,EDUCAÇÃO,5,154.76,Barcelona
158,01-28-2024,CUST0353,Livro,educação,7,88.43,Madrid
159,17/07/2024,CUST0200,Smartphone,Eletrônicos,9,418.43,Lisboa
160,2024-07-28,CUST0308,Livro,Educação,5,311.59,Roma
161,15/12/2024,CUST0177,Sandália,Calçados,7,45.99,Barcelona
162,01/05/2024,CUST0490,Tênis,Calçados,1,495.22,Barcelona
163,02-27-2024,CUST0116,Camiseta,Vestuário,9,459.51,Barcelona
164,09-17-2024,CUST0423,Camiseta,Vestuário,9,87.62,Porto
165,11-20-2024,CUST0432,Sandália,Calçados,9,318.66,Barcelona
166,07-10-2024,CUST0015,Tênis,calçados,6,96.98,Barcelona
167,02-08-2024,CUST0010,Calça,Vestuário,7,161.48,Barcelona
168,12-18-2024,CUST0395,Calça,Vestuário,8,"484,83",Porto
169,05/05/2024,CUST0176,Smartphone,Eletrônicos,9,101.5,Lisboa
170,08-01-2024,CUST0172,Caderno,EDUCAÇÃO,6,275.2,Barcelona
171,08-31-2024,CUST0236,Smartphone,Eletrônicos,4,229.88,Lisboa
172,03-14-2024,CUST0059,Caderno,Educação,5,305.56,Madrid
173,2024-05-29,CUST0181,Tênis,Calçados,5,96.44,Porto
174,08-21-2024,CUST0081,Livro,Educação,2,157.2,Paris
175,2024-12-26,CUST0225,Livro,Educação,7,405.42,Roma
176,23/02/2024,CUST0291,Fruta,Alimentos,6,304.64,Roma
177,11-03-2024,CUST0265,Caderno,Educação,10,247.94,Barcelona
178,24/05/2024,CUST0456,Calça,Vestuário,10,67.61,Roma
179,25/05/2024,CUST0458,Calça,Vestuário,10,67.01,Madrid
180,01-26-2024,CUST0122,Tênis,Calçados,6,305.42,Lisboa
181,02-21-2024,CUST0340,Livro,Educação,2,"287,62",Paris
182,10-15-2024,CUST0002,Caderno,EDUCAÇÃO,4,"280,02",Paris
183,04-20-2024,CUST0440,Tênis,Calçados,5,"146,15",Lisboa
184,2024-10-21,CUST0360,Camiseta,Vestuário,5,"186,19",Barcelona
185,08-31-2024,CUST0381,Sandália,CALÇADOS,4,66.44,Barcelona
186,2024-10-06,CUST0070,Laptop,Eletrônicos,6,102.47,Barcelona
187,26/06/2024,CUST0060,Camiseta,Vestuário,8,"11,14",Porto
188,2024-02-03,CUST0307,Fruta,Alimentos,6,304.07,Paris
189,02-09-2024,CUST0234,Fruta,Alimentos,1,"293,04",Madrid
190,05/05/2024,CUST0180,Calça,Vestuário,3,159.43,Paris
191,05-03-2024,CUST0157,Calça,VESTUÁRIO,2,8.5,Paris
192,06-30-2024,CUST0372,Smartphone,Eletrônicos,10,136.3,Porto
193,2024-01-12,CUST0320,Smartphone,Eletrônicos,2,479.75,Porto
194,02/02/2024,CUST0182,Refrigerante,Alimentos,2,414.56,Roma
195,06-14-2024,CUST0174,Tênis,Calçados,4,451.27,Roma
196,05-25-2024,CUST0337,Camiseta,vestuário,2,261.92,Lisboa
197,08/06/2024,CUST0295,Caderno,Educação,8,"482,25",Barcelona
198,06-06-2024,CUST0062,Sandália,Calçados,6,375.09,Roma
199,03/06/2024,CUST0248,Laptop,Eletrônicos,6,"197,19",Madrid
200,2024-10-10,CUST0163,Calça,Vestuário,1,"9,55",Berlim
201,12-09-2024,CUST0472,Refrigerante,Alimentos,5,95.65,Barcelona
202,08-21-2024,CUST0199,Sandália,Calçados,2,148.35,Roma
203,07/04/2024,CUST0314,Refrigerante,Alimentos,2,215.81,Paris
204,04/09/2024,CUST0341,Tênis,Calçados,3,"186,3",Porto
205,2024-05-05,CUST0421,Sandália,Calçados,1,"290,34",Roma
206,09-08-2024,CUST0377,Laptop,Eletrônicos,7,"186,36",Lisboa
207,10-23-2024,CUST0023,Tênis,Calçados,8,311.2,Barcelona
208,07-11-2024,CUST0411,Sandália,CALÇADOS,5,72.9,Porto
209,2024-02-20,CUST0486,Camiseta,Vestuário,4,"100,6",Barcelona
210,07/08/2024,CUST0418,Caderno,Educação,4,"268,71",Porto
211,2024-01-06,CUST0330,Livro,Educação,7,415.16,Paris
212,20/02/2024,CUST0469,Calça,VESTUÁRIO,2,30.87,Lisboa
213,2024-11-19,CUST0352,Refrigerante,Alimentos,7,37.9,Lisboa
214,05-01-2024,CUST0003,Camiseta,VESTUÁRIO,6,310.8,Paris
215,2024-08-27,CUST0273,Caderno,Educação,10,77.03,Porto
216,28/02/2024,CUST0294,Tênis,Calçados,6,190.83,Barcelona
217,11-13-2024,CUST0177,Refrigerante,Alimentos,8,"178,68",Barcelona
218,07-18-2024,CUST0181,Smartphone,Eletrônicos,8,"16,25",Barcelona
219,08-07-2024,CUST0317,Calça,Vestuário,7,456.74,Lisboa
220,09-17-2024,CUST0226,Smartphone,Eletrônicos,2,"432,73",Lisboa
221,2024-11-12,CUST0456,Livro,Educação,9,181.94,Madrid
222,05-14-2024,CUST0231,Camiseta,Vestuário,1,"221,95",Berlim
223,05-17-2024,CUST0166,Fruta,Alimentos,10,"44,99",Barcelona
224,11-27-2024,CUST0023,Fruta,Alimentos,9,17.58,Roma
225,05-31-2024,CUST0053,Tênis,Calçados,1,203.68,Madrid
226,24/06/2024,CUST0476,Camiseta,Vestuário,5,"361,66",Lisboa
227,2024-10-04,CUST0488,Refrigerante,ALIMENTOS,2,383.84,Berlim
228,08-22-2024,CUST0342,Livro,Educação,6,"441,74",Lisboa
229,02-07-2024,CUST0206,Laptop,Eletrônicos,1,68.26,Porto
230,01/06/2024,CUST0349,Laptop,Eletrônicos,2,152.48,Roma
231,2024-03-23,CUST0286,Calça,Vestuário,8,197.47,Porto
232,2024-12-20,CUST0351,Tênis,Calçados,6,129.03,Porto
233,06-27-2024,CUST0499,Calça,Vestuário,3,"85,45",Barcelona
234,06/01/2024,CUST0055,Livro,Educação,1,257.1,Berlim
235,06-21-2024,CUST0304,Caderno,Educação,10,264.95,Paris
236,2024-01-18,CUST0159,Sandália,Calçados,10,11.84,Berlim
237,08/08/2024,CUST0396,Caderno,Educação,9,174.98,Porto
238,2024-07-26,CUST0082,Fruta,Alimentos,10,121.56,Paris
239,21/11/2024,CUST0275,Refrigerante,Alimentos,5,"385,21",Berlim
240,16/11/2024,CUST0204,Sandália,Calçados,3,268.1,Paris
241,2024-04-24,CUST0155,Livro,Educação,10,489.19,Berlim
242,09-18-2024,CUST0493,Caderno,Educação,3,108.56,Roma
243,02-28-2024,CUST0335,Tênis,Calçados,10,24.44,Paris
244,12-27-2024,CUST0324,Calça,Vestuário,1,372.47,Madrid
245,04-09-2024,CUST0234,Tênis,Calçados,8,436.44,Paris
246,10-13-2024,CUST0139,Refrigerante,ALIMENTOS,2,252.27,Berlim
247,22/06/2024,CUST0297,Caderno,Educação,8,342.0,Porto
248,06-09-2024,CUST0194,Smartphone,Eletrônicos,1,413.0,Berlim
249,01-01-2024,CUST0383,Laptop,Eletrônicos,6,273.72,Porto
250,03-10-2024,CUST0078,Calça,vestuário,10,"440,71",Lisboa
251,05/12/2024,CUST0116,Smartphone,ELETRÔNICOS,1,131.07,Paris
252,22/10/2024,CUST0224,Smartphone,Eletrônicos,7,102.45,Berlim
253,06-05-2024,CUST0446,Laptop,Eletrônicos,9,"185,03",Lisboa
254,03-14-2024,CUST0049,Smartphone,Eletrônicos,4,363.36,Paris
255,22/07/2024,CUST0027,Livro,Educação,2,382.67,Lisboa
256,05-19-2024,CUST0292,Sandália,CALÇADOS,3,150.1,Berlim
257,11/02/2024,CUST0232,Laptop,eletrônicos,3,188.39,Porto
258,30/08/2024,CUST0041,Fruta,Alimentos,6,83.25,Lisboa
259,2024-03-14,CUST0291,Tênis,Calçados,2,157.78,Porto
260,2024-04-14,CUST0234,Refrigerante,Alimentos,3,"316,43",Roma
261,12-03-2024,CUST0187,Smartphone,Eletrônicos,3,233.65,Paris
262,10/06/2024,CUST0159,Refrigerante,Alimentos,8,"230,42",Berlim
263,10-12-2024,CUST0362,Tênis,Calçados,6,60.55,Madrid
264,15/01/2024,CUST0300,Tênis,Calçados,9,215.41,Barcelona
265,2024-07-18,CUST0071,Refrigerante,Alimentos,10,"14,13",Berlim
266,2024-12-25,CUST0398,Calça,Vestuário,2,436.21,Madrid
267,11/10/2024,CUST0436,Sandália,Calçados,5,9.33,Barcelona
268,11-26-2024,CUST0047,Smartphone,Eletrônicos,3,146.85,Lisboa
269,10-28-2024,CUST0175,Sandália,Calçados,7,"374,74",Porto
270,2024-02-18,CUST0187,Caderno,Educação,8,263.4,Porto
271,2024-06-01,CUST0478,Calça,VESTUÁRIO,7,"196,29",Madrid
272,11-12-2024,CUST0215,Refrigerante,Alimentos,3,398.8,Paris
273,2024-05-10,CUST0435,Livro,Educação,10,226.11,Porto
274,2024-12-16,CUST0342,Fruta,Alimentos,6,445.66,Paris
275,06-24-2024,CUST0283,Tênis,Calçados,5,146.47,Paris
276,2024-02-04,CUST0364,Smartphone,Eletrônicos,10,220.03,Barcelona
277,09-05-2024,CUST0002,Camiseta,Vestuário,3,231.07,Berlim
278,08-14-2024,CUST0341,Refrigerante,Alimentos,8,"158,43",Lisboa
279,02/08/2024,CUST0235,Caderno,Educação,8,356.92,Berlim
280,2024-11-07,CUST0298,Calça,VESTUÁRIO,4,39.75,Roma
281,06-19-2024,CUST0091,Smartphone,eletrônicos,9,223.67,Roma
282,22/12/2024,CUST0195,Sandália,Calçados,9,382.06,Paris
283,2024-04-12,CUST0259,Livro,Educação,8,158.67,Roma
284,2024-05-27,CUST0170,Caderno,Educação,2,466.47,Porto
285,25/01/2024,CUST0089,Fruta,ALIMENTOS,10,433.73,Berlim
286,01-26-2024,CUST0059,Calça,VESTUÁRIO,7,386.29,Roma
287,02-02-2024,CUST0187,Refrigerante,Alimentos,8,51.43,Madrid
288,2024-01-10,CUST0070,Calça,Vestuário,8,"89,25",Porto
289,04/03/2024,CUST0053,Livro,Educação,5,310.68,Madrid
290,25/10/2024,CUST0496,Caderno,Educação,9,"63,38",Porto
291,16/09/2024,CUST0182,Caderno,Educação,7,120.14,Berlim
292,10-12-2024,CUST0056,Calça,Vestuário,1,47.28,Berlim
293,04-27-2024,CUST0380,Refrigerante,Alimentos,7,"226,24",Porto
294,07/11/2024,CUST0494,Refrigerante,alimentos,7,227.44,Barcelona
295,01-19-2024,CUST0156,Refrigerante,Alimentos,9,"467,01",Barcelona
296,06-17-2024,CUST0015,Fruta,Alimentos,7,470.55,Porto
297,06-10-2024,CUST0181,Tênis,Calçados,1,390.33,Madrid
298,31/08/2024,CUST0144,Caderno,Educação,10,115.73,Madrid
299,2024-05-08,CUST0363,Caderno,Educação,8,441.96,Madrid
300,15/11/2024,CUST0257,Calça,Vestuário,7,467.46,Roma
301,2024-06-02,CUST0227,Smartphone,Eletrônicos,5,168.6,Lisboa
302,12-12-2024,CUST0025,Fruta,Alimentos,6,95.3,Paris
303,01-19-2024,CUST0284,Smartphone,Eletrônicos,6,26.82,Barcelona
304,09-03-2024,CUST0189,Refrigerante,Alimentos,5,107.35,Paris
305,2024-10-03,CUST0059,Camiseta,Vestuário,5,210.29,Porto
306,12-11-2024,CUST0143,Laptop,Eletrônicos,9,420.69,Roma
307,12/09/2024,CUST0282,Laptop,Eletrônicos,6,"491,62",Lisboa
308,2024-03-16,CUST0314,Calça,Vestuário,2,218.37,Madrid
309,23/04/2024,CUST0011,Laptop,Eletrônicos,8,215.3,Barcelona
310,07-01-2024,CUST0021,Laptop,Eletrônicos,2,181.11,Lisboa
311,06/02/2024,CUST0479,Refrigerante,Alimentos,1,275.64,Madrid
312,09-20-2024,CUST0305,Caderno,Educação,1,"412,24",Paris
313,13/10/2024,CUST0045,Sandália,Calçados,6,162.21,Barcelona
314,13/09/2024,CUST0098,Tênis,Calçados,1,481.51,Lisboa
315,01/02/2024,CUST0443,Livro,Educação,4,318.53,Lisboa
316,02-14-2024,CUST0388,Calça,Vestuário,8,164.03,Berlim
317,02-06-2024,CUST0005,Camiseta,Vestuário,8,38.89,Porto
318,09-20-2024,CUST0072,Fruta,Alimentos,6,466.11,Lisboa
319,06-02-2024,CUST0487,Tênis,Calçados,1,370.67,Barcelona
320,2024-06-10,CUST0392,Smartphone,Eletrônicos,6,37.64,Porto
321,28/03/2024,CUST0233,Caderno,EDUCAÇÃO,5,"361,24",Porto
322,2024-07-14,CUST0407,Caderno,educação,5,66.98,Madrid
323,07-13-2024,CUST0205,Livro,Educação,2,271.8,Madrid
324,2024-01-03,CUST0133,Camiseta,Vestuário,1,415.99,Barcelona
325,2024-04-14,CUST0065,Fruta,Alimentos,8,"246,31",Roma
326,05-12-2024,CUST0223,Tênis,Calçados,2,464.17,Lisboa
327,09-11-2024,CUST0186,Livro,Educação,8,159.96,Roma
328,11-14-2024,CUST0158,Smartphone,Eletrônicos,5,"449,07",Porto
329,06-23-2024,CUST0271,Camiseta,Vestuário,6,"379,35",Porto
330,06-11-2024,CUST0025,Sandália,Calçados,6,7.21,Porto
331,2024-08-09,CUST0122,Camiseta,Vestuário,4,"86,99",Paris
332,01-11-2024,CUST0261,Fruta,Alimentos,7,152.06,Barcelona
333,2024-03-02,CUST0199,Tênis,Calçados,8,143.44,Madrid
334,20/01/2024,CUST0077,Smartphone,Eletrônicos,9,426.13,Lisboa
335,02-16-2024,CUST0420,Caderno,educação,8,"8,57",Berlim
336,02/01/2024,CUST0324,Sandália,Calçados,1,272.03,Porto
337,2024-09-28,CUST0251,Refrigerante,Alimentos,2,"79,65",Roma
338,2024-03-30,CUST0125,Calça,Vestuário,6,"438,9",Roma
339,11/10/2024,CUST0173,Laptop,Eletrônicos,5,109.7,Berlim
340,2024-03-13,CUST0094,Livro,Educação,7,204.83,Porto
341,10-06-2024,CUST0156,Fruta,Alimentos,8,365.9,Porto
342,14/06/2024,CUST0293,Refrigerante,Alimentos,4,"327,99",Lisboa
343,04-25-2024,CUST0106,Fruta,Alimentos,4,261.51,Madrid
344,04-03-2024,CUST0283,Sandália,Calçados,3,301.0,Lisboa
345,22/03/2024,CUST0304,Livro,Educação,5,408.68,Porto
346,03-30-2024,CUST0478,Laptop,Eletrônicos,1,48.78,Lisboa
347,06-14-2024,CUST0346,Tênis,CALÇADOS,4,392.33,Roma
348,23/11/2024,CUST0095,Smartphone,Eletrônicos,3,103.99,Porto
349,01-25-2024,CUST0200,Camiseta,Vestuário,6,484.97,Barcelona
350,04-27-2024,CUST0135,Tênis,Calçados,8,231.99,Madrid
351,16/02/2024,CUST0256,Laptop,Eletrônicos,10,97.59,Paris
352,2024-09-04,CUST0348,Camiseta,vestuário,2,"34,98",Porto
353,07-30-2024,CUST0046,Livro,Educação,7,357.72,Lisboa
354,2024-02-09,CUST0446,Livro,Educação,10,385.41,Barcelona
355,04/02/2024,CUST0488,Fruta,Alimentos,9,182.62,Roma
356,06/09/2024,CUST0327,Fruta,Alimentos,7,114.91,Roma
357,2024-07-01,CUST0214,Sandália,Calçados,1,108.33,Porto
358,09/09/2024,CUST0234,Tênis,Calçados,3,"497,67",Madrid
359,10-19-2024,CUST0335,Tênis,Calçados,3,116.37,Roma
360,2024-06-09,CUST0020,Sandália,Calçados,10,164.9,Paris
361,11/03/2024,CUST0480,Refrigerante,alimentos,8,210.94,Lisboa
362,31/01/2024,CUST0134,Refrigerante,Alimentos,9,410.09,Roma
363,2024-01-21,CUST0180,Sandália,Calçados,3,196.14,Berlim
364,03-11-2024,CUST0483,Smartphone,Eletrônicos,1,370.38,Roma
365,10-25-2024,CUST0277,Camiseta,Vestuário,10,22.58,Berlim
366,04-07-2024,CUST0165,Laptop,Eletrônicos,1,"95,76",Lisboa
367,21/05/2024,CUST0402,Calça,Vestuário,7,355.2,Madrid
368,2024-07-26,CUST0313,Smartphone,Eletrônicos,2,"124,42",Paris
369,08-04-2024,CUST0123,Calça,Vestuário,9,340.26,Paris
370,11-03-2024,CUST0044,Sandália,Calçados,2,206.41,Porto
371,23/04/2024,CUST0359,Sandália,Calçados,2,"260,29",Paris
372,05/02/2024,CUST0280,Fruta,Alimentos,2,368.24,Madrid
373,07-08-2024,CUST0463,Tênis,CALÇADOS,4,446.48,Berlim
